term,definition,domain
hertz,"A electrical term meaning hertz, used in site, drawing, installation or coordination contexts.",electrical
kilowatt,"A electrical term meaning kilowatt, used in site, drawing, installation or coordination contexts.",electrical
output,"A electrical term meaning çıkış, used in site, drawing, installation or coordination contexts.",electrical
voltage,"A electrical term meaning gerilim / voltaj, used in site, drawing, installation or coordination contexts.",electrical
watt,"A electrical term meaning watt, used in site, drawing, installation or coordination contexts.",electrical
bar,"A electrical term meaning çubuk / bara, used in site, drawing, installation or coordination contexts.",electrical
energy,"A electrical term meaning enerji, used in site, drawing, installation or coordination contexts.",electrical
main,"A electrical term meaning ana, used in site, drawing, installation or coordination contexts.",electrical
outlet,"A electrical term meaning priz / çıkış, used in site, drawing, installation or coordination contexts.",electrical
power,"A electrical term meaning güç / enerji, used in site, drawing, installation or coordination contexts.",electrical
source,"A electrical term meaning kaynak, used in site, drawing, installation or coordination contexts.",electrical
supply,"An adverb meaning “besleme / tedarik”, used to describe how or when an action is done.",electrical
fuse,"A electrical term meaning sigorta, used in site, drawing, installation or coordination contexts.",electrical
security,"A electrical term meaning güvenlik, used in site, drawing, installation or coordination contexts.",electrical
electrician,"A electrical term meaning elektrikçi, used in site, drawing, installation or coordination contexts.",electrical
advertisement,"An adjective meaning “reklam / ilan”, used to describe a condition, issue, status or requirement.",general-english
