term,turkishMeaning,definition,exampleSentence,turkishExample,domain
sentence,cümle,"A practical English term meaning cümle, used in daily work-life communication.",This sentence is clear and suitable for a site report.,Bu cümle açık ve saha raporu için uygundur.,general-english
student,öğrenci,"An adjective meaning “öğrenci”, used to describe a condition, issue, status or requirement.",The student asked a clear question about the drawing.,Öğrenci çizim hakkında net bir soru sordu.,general-english
hundred,yüz,"A practical English term meaning yüz, used in daily work-life communication.",More than one hundred cables were labelled before the inspection.,İnspeksiyondan önce yüzden fazla kablo etiketlendi.,general-english
level,seviye,"A practical English term meaning seviye, used in daily work-life communication.",The English level will improve with regular practice.,İngilizce seviyesi düzenli pratikle gelişir.,general-english
strong,güçlü / sağlam,"A practical English term meaning güçlü / sağlam, used in daily work-life communication.",The support must be strong enough for the cable tray.,Askı kablo tavası için yeterince güçlü olmalıdır.,general-english
area,alan / bölge,"A practical English term meaning alan / bölge, used in daily work-life communication.",The area must be cleaned before inspection.,Alan denetimden önce temizlenmelidir.,general-english
center,merkez,"A practical English term meaning merkez, used in daily work-life communication.",The training center is close to the site office.,Eğitim merkezi saha ofisine yakındır.,general-english
centre,merkez,"A practical English term meaning merkez, used in daily work-life communication.",The training centre is close to the site office.,Eğitim merkezi saha ofisine yakındır.,general-english
group,grup,"A practical English term meaning grup, used in daily work-life communication.",The group will meet after lunch.,Grup öğle yemeğinden sonra buluşacak.,general-english
station,istasyon,"A practical English term meaning istasyon, used in daily work-life communication.",The station must be checked before operation.,İstasyon çalıştırmadan önce kontrol edilmelidir.,general-english
afraid,korkmuş,"A practical English term meaning korkmuş, used in daily work-life communication.",I am afraid the delivery will be delayed.,Teslimatın gecikeceğinden korkuyorum.,general-english
beautiful,güzel,"An adjective meaning “güzel”, used to describe a condition, issue, status or requirement.",The hotel lobby is beautiful and easy to find.,Otel lobisi güzel ve kolay bulunuyor.,general-english
cafe,kafe,"A practical English term meaning kafe, used in daily work-life communication.",We met at the cafe after work.,İşten sonra kafede buluştuk.,general-english
cinema,sinema,"A practical English term meaning sinema, used in daily work-life communication.",We went to the cinema at the weekend.,Hafta sonu sinemaya gittik.,general-english
friend,arkadaş,"A social and cultural English term meaning arkadaş, used in small talk, casual conversation or culture discussions.",He mentioned the friend while explaining the problem.,Problemi açıklarken arkadaş konusundan bahsetti.,general-english
guest,misafir,"A practical English term meaning misafir, used in daily work-life communication.",The guest will arrive after lunch.,Misafir öğle yemeğinden sonra gelecek.,general-english
holiday,tatil,"A practical English term meaning tatil, used in daily work-life communication.",The holiday schedule must be confirmed early.,Tatil programı erkenden teyit edilmelidir.,general-english
people,insanlar,"A practical English term meaning insanlar, used in daily work-life communication.",People need clear instructions before entering the site.,İnsanların sahaya girmeden önce net talimatlara ihtiyacı vardır.,general-english
weekend,hafta sonu,"A practical English term meaning hafta sonu, used in daily work-life communication.",I will rest at the weekend.,Hafta sonu dinleneceğim.,general-english
system,sistem,"A practical English term meaning sistem, used in daily work-life communication.",The system must be tested before handover.,Sistem teslimden önce test edilmelidir.,general-english
tool,alet,"A practical English term meaning alet, used in daily work-life communication.",The correct tool must be used for cable termination.,Kablo sonlandırması için doğru alet kullanılmalıdır.,general-english
airport,havaalanı,"A travel English term meaning havaalanı, used for airport, hotel, taxi, restaurant or relocation situations.",The airport is important for my trip tomorrow.,Seyahatten önce havaalanı ile ilgili bilgiyi kontrol etmem gerekiyor.,general-english
arrival,varış,"An adjective meaning “varış”, used to describe a condition, issue, status or requirement.",I need to confirm my arrival time before travelling to Benghazi.,Bingazi’ye gitmeden önce varış saatimi teyit etmem gerekiyor.,general-english
backpack,sırt çantası,"A practical English term meaning sırt çantası, used in daily work-life communication.",I put the site notebook in my backpack before leaving the room.,Odadan çıkmadan önce saha defterini sırt çantama koydum.,general-english
bike,bisiklet,"A practical English term meaning bisiklet, used in daily work-life communication.",He came to the site office by bike in the morning.,Sabah saha ofisine bisikletle geldi.,general-english
book,kitap / rezervasyon yapmak,"An education and learning term meaning kitap / rezervasyon yapmak, used for self-study, courses or technical learning.",The teacher explained the book with a simple example.,Öğretmen kitap konusunu basit bir örnekle anlattı.,general-english
departure,kalkış / ayrılış,"A travel English term meaning kalkış / ayrılış, used for airport, hotel, taxi, restaurant or relocation situations.","Could you help me with the departure, please?",Lütfen kalkış / ayrılış konusunda bana yardımcı olur musunuz?,general-english
flight,uçuş,"A travel English term meaning uçuş, used for airport, hotel, taxi, restaurant or relocation situations.",The flight is important for my trip tomorrow.,Seyahatten önce uçuş ile ilgili bilgiyi kontrol etmem gerekiyor.,general-english
hotel,otel,"A travel English term meaning otel, used for airport, hotel, taxi, restaurant or relocation situations.",I need to confirm the hotel before I arrive.,Gelmeden önce otel konusunu teyit etmem gerekiyor.,general-english
